"data_hora","data","hora","altura","n_calcado","peso","cirurgia","estetica","estetica_outros","cor","oculos","sexo","estado_civil","n_pessoas_moradia","entidade_estudantil","tipo_entidade_estudantil","religiao","animais_domesticos","outro_animais_domesticos","n_filhos","idade","doa_sangue","frequencia_esporte","n_livros_ano","uf_antes_fearp","n_pessoas_whatsapp","renda_em_sm","auxilio_usp","tipo_auxilio_usp","bandejao","n_refeicoes_bandejao","fundo_de_investimento","cartao_de_credito","conta_em_bancos","previdencia_privada","ano_ingresso_usp","cotas","divide_residencia","n_tv","viagem_exterior","n_paises","idioma_fluente","outro_idioma","plano_saude","escola_colegial","casa_pais","escolaridade_pai","escolaridade_mae","ajuda_financeira_pais","transporte_em_ribeirao","graduacao_anterior","curso_graduacao_anterior","empregado","modalidade_emprego","profissao","trabalho_contabil","cidade_empresa","horas_trabalho_semana","renda_complementar"
2022-08-17 08:40:58,2022-08-17,8H 40M 58S,158,38,"51 a 60 kg","Sim","Outros","nenhum","Parda","Sim","Feminino","Solteiro","4","Não",NA,"Sim","Cachorro",NA,"1","(17 a 20)","Não","Não pratico esportes regularmente",5,"São Paulo","201 e 300","De 6 a 8 SM","Não",NA,"Sim","0 refeições","Não","Não","Não","Sim",2022,"Não","Com os pais","Não moro em Ribeirão Preto","Não","1","Inglês",NA,"Sim","Privada","Própria","Ensino Superior","Ensino Médio","Sim","Carro (próprio, alugado, emprestado, etc.)","Não",NA,"Não","Presencial","Estudante","Não","nenhuma","Não trabalho","Não"
2022-08-17 08:45:29,2022-08-17,8H 45M 29S,160,36,"61 a 70 kg","Sim","Tatuagem, Piercing","nenhum","Preta","Sim","Feminino","Solteiro","4","Sim","CVURP","Sim","Passarinho",NA,"1","(17 a 20)","Sim","Não pratico esportes regularmente",10,"SP","Entre 101 e 200","De 2 a 4 SM","Não",NA,"Sim","1 refeição","Não","Não","Sim","Não",2022,"Sim","Com os pais","2","Não","0","Outro:","Nenhum","Não","Pública (Estadual, Federal ou Municipal)","Própria","Ensino Médio","Ensino fundamental","Sim","Ônibus","Não",NA,"Sim","Presencial","Estagio de assistente financeiro","Sim","ribeirao preto","20 a 30h","Sim"
2022-08-17 08:53:44,2022-08-17,8H 53M 44S,166,37,"51 a 60 kg","Não","Piercing","nenhum","Branca","Sim","Feminino","Solteiro","1","Sim","Atlética","Não","Cachorro",NA,"1","(21 a 25)","Sim","Não pratico esportes regularmente",1,"SP","Entre 101 e 200","Até 2 Salários Mínimos","Não",NA,"Sim","2 refeições","Sim","Sim","Sim","Não",2019,"Não","Sozinho","1","Sim","6","Inglês",NA,"Não","Privada","Própria","Ensino Médio","Ensino Médio","Sim","Carro (próprio, alugado, emprestado, etc.)","Sim","Estatística e Ciência de Dados(Incompleto)","Sim","Homeoffice","Estágio na Fundace","Não","ribeirao preto","20 a 30h","Não"
2022-08-17 09:32:07,2022-08-17,9H 32M 7S,167,38,"61 a 70 kg","Sim","Piercing","nenhum","Branca","Sim","Feminino","Solteiro","2","Não",NA,"Não","Não possuo animal de estimação",NA,"1","(17 a 20)","Não","quatro ou mais vezes",10,"SP","Até 100","De 4 a 6 SM","Não",NA,"Sim","1 refeição","Não","Sim","Sim","Não",2022,"Não","Outros","1","Não","1","Inglês",NA,"Sim","Estudei em ambas com predominância na Pública","Própria","Ensino fundamental","Ensino Superior","Não","Aplicativo (Uber, 99 Taxi, etc.)","Não",NA,"Sim","Homeoffice","Estagiária","Não","ribeirao preto","20 a 30h","Sim"
2022-08-17 09:39:43,2022-08-17,9H 39M 43S,180,44,"81 a 100 kg","Sim","Outros","Brinco","Branca","Não","Masculino","Solteiro","2","Sim","Centro Acadêmico Flaviana Condeixa Favaretto","Não","Gato",NA,"1","(17 a 20)","Sim","até duas vezes",12,"São Paulo","201 e 300","De 6 a 8 SM","Não",NA,"Não","0 refeições","Sim","Não","Não","Sim",2022,"Não","Sozinho","1","Sim","8","Inglês",NA,"Sim","Privada","Própria","Ensino Superior","Ensino Superior","Sim","Aplicativo (Uber, 99 Taxi, etc.)","Não",NA,"Não","Presencial","Estudante","Não","ribeirao preto","Não trabalho","Não"
2022-08-17 09:57:07,2022-08-17,9H 57M 7S,150,34,"0 a 50 kg","Sim","Outros","nenhum","Branca","Não","Feminino","Solteiro","Acima de 5","Sim","Centro Acadêmico e Atlética","Não","Não possuo animal de estimação",NA,"1","(17 a 20)","Sim","até duas vezes",10,"Sao Paulo","Acima de 300","De 4 a 6 SM","Sim","Moradia Estudantil e Auxilio Alimentação","Sim","2 refeições","Não","Não","Sim","Não",2022,"Não","Outros","0","Não","0","Inglês",NA,"Sim","Pública (Estadual, Federal ou Municipal)","Outro","Ensino Superior","Ensino fundamental","Sim","Aplicativo (Uber, 99 Taxi, etc.)","Não",NA,"Não","Presencial","estudante","Não","nenhuma","Não trabalho","Não"
2022-08-17 10:02:10,2022-08-17,10H 2M 10S,181,40,"71 a 80 kg","Não","Outros","nenhum","Branca","Não","Masculino","Solteiro","4","Não",NA,"Sim","Não possuo animal de estimação",NA,"1","(17 a 20)","Não","quatro ou mais vezes",4,"São Paulo","Entre 101 e 200","De 6 a 8 SM","Não",NA,"Sim","1 refeição","Sim","Sim","Sim","Não",2022,"Não","Com os pais","3","Não","1","Inglês",NA,"Sim","Privada","Própria","Ensino Médio","Ensino Médio","Sim","Carro (próprio, alugado, emprestado, etc.)","Não","Ciências Contábeis","Sim","Presencial","estagiário setor de vendas","Sim","ribeirao preto","31 a 40h","Sim"
2022-08-17 10:10:43,2022-08-17,10H 10M 43S,180,39,"61 a 70 kg","Sim","Outros","nenhum","Branca","Sim","Masculino","Solteiro","1","Não",NA,"Sim","Cachorro",NA,"1","(21 a 25)","Não","Não pratico esportes regularmente",3,"São Paulo","Entre 101 e 200","De 4 a 6 SM","Não",NA,"Não","0 refeições","Não","Sim","Sim","Não",2022,"Sim","Sozinho","0","Não","1","Outro:","Portugues","Sim","Pública (Estadual, Federal ou Municipal)","Própria","Ensino Médio","Ensino fundamental","Sim","Aplicativo (Uber, 99 Taxi, etc.)","Não",NA,"Não","Homeoffice","Estudante","Não","ribeirao preto","Não trabalho","Não"
2022-08-17 10:15:44,2022-08-17,10H 15M 44S,184,42,"71 a 80 kg","Sim","Outros","nenhum","Branca","Sim","Masculino","Solteiro","Acima de 5","Sim","Insertus Business Club","Sim","Não possuo animal de estimação",NA,"1","(17 a 20)","Não","Não pratico esportes regularmente",0,"São Paulo","Até 100","De 6 a 8 SM","Sim","Auxilio Moradia, Auxilio Alimentação","Sim","2 refeições","Não","Não","Não","Não",2022,"Sim","Com amigos","1","Não","1","Outro:","Português","Sim","Pública (Estadual, Federal ou Municipal)","Própria","Ensino Médio","Ensino Superior","Sim","Aplicativo (Uber, 99 Taxi, etc.)","Não",NA,"Não","Homeoffice","Nenhuma","Não","nenhuma","Não trabalho","Não"
2022-08-17 10:20:12,2022-08-17,10H 20M 12S,179,41,"71 a 80 kg","Sim","Tatuagem","nenhum","Parda","Sim","Masculino","Solteiro","Acima de 5","Não",NA,"Não","Cachorro",NA,"1","(21 a 25)","Não","quatro ou mais vezes",0,"SP","201 e 300","Até 2 Salários Mínimos","Sim","Auxílio moradia","Sim","1 refeição","Não","Não","Sim","Não",2018,"Não","Em república","1","Não","1","Inglês",NA,"Não","Privada","Própria","Ensino Médio","Ensino Médio","Não","Aplicativo (Uber, 99 Taxi, etc.)","Não",NA,"Sim","Presencial","Estágio em BI","Sim","ribeirao preto","20 a 30h","Sim"
