"cnpj","nome_coop","auditorIndependente","mudou_auditor","situacao","uf","endereco_eletronico","segmento_prudencial","numeroAgencias","Ativo_Total","Patrimonio_Liquido","Despesas_Operacionais","Receitas_Operacionais","Depositos_totais","Caixa","Disponibilidades","Sobras","PECLD","Capital_social","Compensacao","Carteira_credito","Classificacao_carteira_credito","regiao","municipio","classe","criterio_de_associacao","categ_coop_sing","filiacao","big_four","data_inicio_atividades","idade_em_2022","total_de_cooperados","cooperados_pf","cooperados_pj","Passivo_Total"
5790149,"CENTRAL COOPERATIVA DE CRÉDITO NO ESTADO DO ESPÍRITO SANTO - CECOOP","MOORE PRISMA AUDITORES INDEPENDENTES",0,"Autorizada em Atividade","ES","www.cecoop.com.br","S4",0,577843270,106841099,-144941515,140941515,363017390,"351,70",8014555,NA,NA,106841099,1882904,NA,NA,"Sudeste","VITORIA","Central",NA,NA,NA,0,"2003-07-17",19,NA,NA,NA,577843270
309024,"CENTRAL DAS COOPERATIVAS DE ECONOMIA E CREDITO DO ESTADO DE MINAS GERAIS LTDA. - SICOOB CENTRAL CECREMGE","AUDSERVICE-AUDITORES ASSOCIADOS S/C",0,"Autorizada em Atividade","MG","www.cecremge.org.br","S4",0,972721594887,28976465231,-7964209117,8250858860,40136012,NA,300000,327608050,-228434660,25698125393,220180962654,34850267266,34850267266,"Sudeste","BELO HORIZONTE","Central",NA,NA,NA,0,"1994-11-22",28,NA,NA,NA,972721594887
1634601,"CENTRAL DE COOPERATIVAS DE ECONOMIA E CRÉDITO MÚTUO DO ESTADO DO RIO GRANDE DO SUL LTDA - UNICRED CENTRAL RS","ERNST & YOUNG AUDITORES INDEPENDENTES S/S",0,"Autorizada em Atividade","RS","www.unicred-rs.com.br","S4",0,211132462184,10205121563,-3386032690,3405587104,NA,"7706,46",1070646,NA,-2151399,9998573090,36300642623,430279801,430279801,"Sul","PORTO ALEGRE","Central",NA,NA,"CONF NAC COOP CENTRAIS UNICRED",1,"1996-09-14",26,NA,NA,NA,211132462184
10398952,"CONFEDERAÇÃO NACIONAL DAS COOPERATIVAS CENTRAIS DE CRÉDITO E ECONOMIA FAMILIAR E SOLIDÁRIA - CRESOL CONFEDERAÇÃO","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES",0,"Autorizada em Atividade","SC","www.cresolconfederacao.com.br","S4",0,63651483486,1845401051,-4468088845,4511774559,NA,"49,60",9819688,40287195,-520000,1746867000,331819836,104000000,104000000,"Sul","FLORIANOPOLIS","Confederação",NA,NA,NA,1,"2008-09-09",14,NA,NA,NA,63651483486
315557,"CONFEDERAÇÃO NACIONAL DAS COOPERATIVAS CENTRAIS UNICRED LTDA. - UNICRED DO BRASIL.","ERNST & YOUNG AUDITORES INDEPENDENTES S/S",0,"Autorizada em Atividade","SP","www.unicred.com.br","S4",1,121489979061,6365051889,-6720928561,6217194681,NA,"6977405,68",705347491,739196642,NA,4730759436,45837233225,NA,NA,"Sudeste","SAO PAULO","Confederação",NA,NA,NA,1,"1994-11-23",28,NA,NA,NA,121489979061
44469161,"COOPECREDI GUARIBA - COOPERATIVA DE CREDITO","MOORE PRISMA AUDITORES INDEPENDENTES",0,"Autorizada em Atividade","SP","www.coopecredi.com.br","S4",8,409568531402,33942036203,-2824475786,3979897881,63972987534,"2333434,28",233541028,1576999514,-819803230,11734959613,291728546845,42438125494,42438125494,"Sudeste","GUARIBA","Singular","Livre Admissão","Plena","CCC DO ESTADO DE SÃO PAULO",0,"1976-01-12",46,8665,6485,2180,409568531402
88325113,"COOPERATIVA    DE    ECONOMIA    E    CRÉDITO   MÚTUO  MINUANO","LINEAR AUDITORES INDEPENDENTES SOCIEDADE SIMPLES",0,"Autorizada em Atividade","RS","www.cooperativaminuano.com.br","S5",5,4026025997,1571647844,-143743888,160388233,1001819826,NA,129455,2684649,-26426486,1487285053,1355689660,1047663695,1047663695,"Sul","CANOAS","Singular","Empregados ou Servidores","Clássica",NA,0,"1984-01-31",38,2198,2195,3,4026025997
21198087,"COOPERATIVA CENTRAL DE CREDITO RURAL COM INTERAÇÃO SOLIDÁRIA   CENTRAL CRESOL SICOPER","PWC AUDITORES INDEPENDENTES",0,"Autorizada em Atividade","RS","www.cresolsicoper.com.br","S4",0,181678035998,4476325222,-4112391004,4090090406,31442825834,"22180,37",403836929,131400598,-1603900,3759082802,22363159980,320779978,320779978,"Sul","PASSO FUNDO","Central",NA,NA,"CRESOL CONFEDERAÇÃO",1,"2014-10-09",8,NA,NA,NA,181678035998
5463212,"COOPERATIVA CENTRAL DE CRÉDITO - AILOS","ERNST & YOUNG AUDITORES INDEPENDENTES S/S",0,"Autorizada em Atividade","SC","http://www.ailos.coop.br/","S4",0,622398959372,42740148565,-14250288359,14250288359,NA,"3000,00",978485,NA,-257893763,42740148565,122636764754,29259280005,29259280005,"Sul","BLUMENAU","Central",NA,NA,NA,1,"2002-12-04",20,NA,NA,NA,622398959372
1401771,"COOPERATIVA CENTRAL DE CRÉDITO COM INTERAÇÃO SOLIDÁRIA - CENTRAL CRESOL BASER","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES",0,"Autorizada em Atividade","PR","www.cresol.com.br","S4",0,910072749213,20842598092,-13157682085,12791514118,45632084747,NA,5235584,892196889,-59458202,15132080284,389036698350,7734737864,7734737864,"Sul","FRANCISCO BELTRAO","Central",NA,NA,"CRESOL CONFEDERAÇÃO",1,"1996-08-30",26,NA,NA,NA,910072749213
10013534,"COOPERATIVA CENTRAL DE CRÉDITO DA AGRICULTURA FAMILIAR E ECONOMIA SOLIDÁRIA - ASCOOB CENTRAL","IDERALDO LUIZ AGOSTINHO DE MORAES",0,"Autorizada em Atividade","BA","www.sistemaascoob.com.br","S4",0,8845125827,266220783,-173524645,190928230,NA,"137,53",13753,-16202770,-319138,278291477,119273410,63827690,63827690,"Nordeste","SERRINHA","Central",NA,NA,"CRESOL CONFEDERAÇÃO",0,"2008-07-03",14,NA,NA,NA,8845125827
