"","altura","n_calcado","peso","cirurgia","oculos","bandejao","estado_civil","animais_domesticos","n_livros_ano","ano_ingresso","idioma","doacao_sangue"
"1",158,38,"51 a 60 kg","Sim",1,"0 refeições","Solteiro","Cachorro",5,2022,"nenhum","Não"
"2",160,36,"61 a 70 kg","Sim",1,"1 refeição","Solteiro","Passarinho",10,2022,"nenhum","Sim"
"3",166,37,"51 a 60 kg","Não",1,"2 refeições","Solteiro","Cachorro",1,2019,"nenhum","Sim"
"4",167,38,"61 a 70 kg","Sim",1,"1 refeição","Solteiro","Não possuo animal de estimação",10,2022,"nenhum","Não"
"5",180,44,"81 a 100 kg","Sim",0,"0 refeições","Solteiro","Gato",12,2022,"nenhum","Sim"
"6",150,34,"0 a 50 kg","Sim",0,"2 refeições","Solteiro","Não possuo animal de estimação",10,2022,"nenhum","Sim"
"7",181,40,"71 a 80 kg","Não",0,"1 refeição","Solteiro","Não possuo animal de estimação",4,2022,"nenhum","Não"
"8",180,39,"61 a 70 kg","Sim",1,"0 refeições","Solteiro","Cachorro",3,2022,"portugues","Não"
"9",184,42,"71 a 80 kg","Sim",1,"2 refeições","Solteiro","Não possuo animal de estimação",0,2022,"português","Não"
"10",179,41,"71 a 80 kg","Sim",1,"1 refeição","Solteiro","Cachorro",0,2018,"nenhum","Não"
"11",166,36,"0 a 50 kg","Não",0,"0 refeições","Solteiro","Gato",5,2021,"nenhum","Não"
"12",150,36,"0 a 50 kg","Sim",1,"1 refeição","Solteiro","Não possuo animal de estimação",4,2022,"nenhum","Não"
"13",181,39,"81 a 100 kg","Não",1,"0 refeições","Solteiro","Não possuo animal de estimação",2,2022,"nenhum","Não"
"14",169,40,"61 a 70 kg","Não",1,"0 refeições","Solteiro","Gato",26,2022,"nenhum","Não"
"15",193,44,"81 a 100 kg","Não",1,"1 refeição","Solteiro","Cachorro",3,2022,"nenhum","Não"
"16",173,41,"61 a 70 kg","Não",1,"1 refeição","Solteiro","Não possuo animal de estimação",0,2022,"nenhum","Não"
"17",178,42,"51 a 60 kg","Não",0,"1 refeição","Solteiro","Gato",4,2022,"nenhum","Não"
"18",168,38,"71 a 80 kg","Não",1,"0 refeições","Solteiro","Cachorro",1,2022,"nenhum","Não"
"19",163,41,"71 a 80 kg","Não",0,"0 refeições","Solteiro","Cachorro",3,2022,"nenhum","Não"
"20",173,38,"51 a 60 kg","Não",1,"1 refeição","Solteiro","Cachorro",0,2022,"nenhum","Não"
"21",155,35,"51 a 60 kg","Não",1,"0 refeições","Solteiro","Não possuo animal de estimação",0,2022,"nenhum","Não"
"22",176,39,"81 a 100 kg","Não",1,"1 refeição","Solteiro","Gato",5,2018,"de forma fluente, nenhum","Não"
"23",185,43,"81 a 100 kg","Não",0,"1 refeição","Solteiro","Cachorro",4,2018,"nenhum","Não"
"24",171,42,"71 a 80 kg","Não",0,"2 refeições","Solteiro","Outro:",4,2021,"nenhum","Não"
"25",175,37,"61 a 70 kg","Não",1,"1 refeição","Solteiro","Gato",0,2022,"português","Não"
"26",176,41,"61 a 70 kg","Não",1,"0 refeições","Solteiro","Não possuo animal de estimação",8,2022,"nenhum","Não"
"27",175,40,"81 a 100 kg","Não",0,"2 refeições","Solteiro","Cachorro",2,2022,"nenhum","Não"
"28",186,43,"71 a 80 kg","Sim",1,"0 refeições","Solteiro","Cachorro",2,2021,"nenhum","Não"
"29",160,37,"51 a 60 kg","Sim",0,"0 refeições","Solteiro","Cachorro",12,2022,"português","Não"
"30",185,43,"81 a 100 kg","Sim",1,"2 refeições","Solteiro","Cachorro",8,2022,"nenhum","Não"
"31",181,41,"71 a 80 kg","Não",1,"1 refeição","Solteiro","Não possuo animal de estimação",20,2022,"nenhum","Não"
"32",171,40,"61 a 70 kg, 71 a 80 kg","Sim",1,"0 refeições","Solteiro","Cachorro",5,2022,"não falo nenhuma de forma fluente","Não"
"33",173,39,"51 a 60 kg","Não",0,"1 refeição","Solteiro","Não possuo animal de estimação",10,19,"nenhum","Sim"
"34",175,42,"81 a 100 kg","Não",1,"0 refeições","Solteiro","Cachorro",10,2013,"nenhum","Não"
"35",173,41,"71 a 80 kg","Sim",0,"1 refeição","Solteiro","Cachorro",2,2022,"português","Não"
"36",174,41,"71 a 80 kg","Sim",1,"0 refeições","Solteiro","Não possuo animal de estimação",0,2022,"nenhum","Não"
"37",160,36,"0 a 50 kg","Não",0,"1 refeição","Solteiro","Cachorro",0,2022,"apenas portugues","Não"
"38",181,42,"71 a 80 kg","Não",1,"0 refeições","Solteiro","Cachorro",5,2022,"nenhum","Não"
"39",183,43,"81 a 100 kg","Não",0,"2 refeições","Solteiro","Não possuo animal de estimação",12,2021,"nenhum","Não"
"40",180,40,"71 a 80 kg","Não",0,"1 refeição","Solteiro","Outro:",7,2022,"português","Não"
"41",183,42,"81 a 100 kg","Sim",1,"0 refeições","Solteiro","Cachorro",0,2020,"nenhum","Não"
"42",190,44,"81 a 100 kg","Não",0,"1 refeição","Solteiro","Cachorro",2,2018,"português","Não"
"43",178,41,"71 a 80 kg","Sim",0,"2 refeições","Solteiro","Cachorro",1,2022,"só o português","Não"
